date,Buyout and Growth,,date,Buyout and Growth,,,
6/30/04,,,3/31/01,-7.75,,,
7/31/04,-0.460409483,,6/30/01,-1.859552212,,,
8/31/04,1.860460168,,9/30/01,-5.742470454,,,
9/30/04,2.971593352,,12/31/01,-3.367104105,,,
10/31/04,3.742228492,,3/31/02,-2.486564193,,,
11/30/04,5.212280717,,6/30/02,-3.317280849,,,
12/31/04,4.046260982,,9/30/02,-4.637963249,,,
1/31/05,-1.218248613,,12/31/02,-2.746600859,,,
2/28/05,1.672860693,,3/31/03,-1.952442775,,,
3/31/05,-1.207414539,,6/30/03,4.350814848,,,
4/30/05,0.041382751,,9/30/03,6.33893872,,,
5/31/05,2.422721274,,12/31/03,5.164554147,,,
6/30/05,2.112964517,,3/31/04,3.107827329,,,
7/31/05,2.248249017,,6/30/04,1.275580627,,,
8/31/05,0.927804929,,9/30/04,5.242402808,,,
9/30/05,1.978550249,,12/31/04,13.91107094,,,
10/31/05,0.570567339,,3/31/05,0.509809863,,,
11/30/05,3.936778314,,6/30/05,4.361745017,,,
12/31/05,3.481105021,,9/30/05,3.960123043,,,
1/31/06,3.113309561,,12/31/05,9.09984051,,,
2/28/06,0.0068097,,3/31/06,4.617287325,,,
3/31/06,1.523253884,,6/30/06,2.798128521,,,
4/30/06,2.698751325,,9/30/06,5.142843236,,,
5/31/06,-1.278200294,,12/31/06,6.769889795,,,
6/30/06,0.88767292,,3/31/07,5.162394697,,,
7/31/06,1.253824798,,6/30/07,9.734715975,,,
8/31/06,2.45736101,,9/30/07,10.78508069,,,
9/30/06,1.654304514,,12/31/07,3.684184156,,,
10/31/06,2.767133945,,3/31/08,-2.694568038,,,
11/30/06,2.535408354,,6/30/08,-2.043177699,,,
12/31/06,1.892236909,,9/30/08,-8.272787136,,,
1/31/07,1.585001271,,12/31/08,-14.2888519,,,
2/28/07,0.954508337,,3/31/09,-3.986662746,,,
3/31/07,2.235669843,,6/30/09,4.319013729,,,
4/30/07,4.020281071,,9/30/09,6.017916171,,,
5/31/07,3.60601443,,12/31/09,6.494450537,,,
6/30/07,1.92007844,,3/31/10,5.106880332,,,
7/31/07,1.907511499,,6/30/10,0.441895587,,,
8/31/07,1.876911767,,9/30/10,6.393812131,,,
9/30/07,5.11411554,,12/31/10,6.91512684,,,
10/31/07,3.24283815,,3/31/11,6.119405077,,,
11/30/07,-1.773163348,,6/30/11,2.056173591,,,
12/31/07,0.430910197,,9/30/11,-4.414160139,,,
1/31/08,-3.920573372,,12/31/11,0.892798488,,,
2/29/08,1.134431027,,3/31/12,5.29538787,,,
3/31/08,-0.460906326,,6/30/12,0.99415618,,,
4/30/08,2.524443033,,9/30/12,2.945795599,,,
5/31/08,0.903274832,,12/31/12,3.191721705,,,
6/30/08,-4.075017615,,3/31/13,3.802830481,,,
7/31/08,-1.678131028,,6/30/13,2.287428935,,,
8/31/08,-1.198635526,,9/30/13,4.840613864,,,
9/30/08,-6.960280395,,12/31/13,7.315527331,,,
10/31/08,-11.23371386,,3/31/14,3.060705056,,,
11/30/08,-3.812617066,,6/30/14,4.728889316,,,
12/31/08,1.587670737,,9/30/14,0.912650205,,,
1/31/09,-3.25974276,,12/31/14,2.035630353,,,
2/28/09,-3.944622101,,3/31/15,2.620130897,,,
3/31/09,4.923358704,,6/30/15,6.15388992,,,
4/30/09,5.040821786,,9/30/15,-1.103914252,,,
5/31/09,3.728025962,,12/31/15,3.223122391,,,
6/30/09,-1.55712693,,3/31/16,0.350413254,,,
7/31/09,3.923878729,,6/30/16,2.299320819,,,
8/31/09,1.545059713,,9/30/16,4.419593579,,,
9/30/09,2.232467064,,12/31/16,4.126367095,,,
10/31/09,0.155152503,,3/31/17,4.187190871,,,
11/30/09,3.025663911,,6/30/17,5.432193102,,,
12/31/09,2.479955406,,9/30/17,4.688355131,,,
1/31/10,-1.236424078,,12/31/17,5.214574758,,,
2/28/10,1.717889536,,3/31/18,3.565787701,,,
3/31/10,4.348549468,,6/30/18,4.074183287,,,
4/30/10,1.793961559,,9/30/18,3.331913408,,,
5/31/10,-3.621773188,,12/31/18,-0.507603147,,,
6/30/10,-0.256279372,,3/31/19,4.238043031,,,
7/31/10,4.532673573,,6/30/19,4.296422299,,,
8/31/10,-1.135428695,,9/30/19,1.89168996,,,
9/30/10,5.599501694,,12/31/19,5.02652698,,,
10/31/10,2.471890768,,3/31/20,-7.315771864,,,
11/30/10,-0.17090873,,6/30/20,12.14854838,,,
12/31/10,4.361863921,,9/30/20,11.68323677,,,
1/31/11,1.503091385,,12/31/20,11.68195974,,,
2/28/11,2.371169632,,3/31/21,10.98166318,,,
3/31/11,1.35435393,,6/30/21,12.56564953,,,
4/30/11,2.560118982,,9/30/21,1.772010162,,,
5/31/11,-0.549707032,,12/31/21,6.310174192,,,
6/30/11,-0.336925509,,3/31/22,0.352851781,,,
7/31/11,0.297130586,,6/30/22,-3.634710627,,,
8/31/11,-2.863121359,,9/30/22,-2.228123945,,,
9/30/11,-4.283439428,,12/31/22,1.948198895,,,
10/31/11,5.412322066,,3/31/23,2.354423408,,,
11/30/11,-1.35450429,,6/30/23,2.219341257,,,
12/31/11,-0.113640837,,9/30/23,0.667322815,,,
1/31/12,3.334011244,,,,,,
2/29/12,2.790969754,,,,,,
3/31/12,0.620095786,,,,,,
4/30/12,0.3121246,,,,,,
5/31/12,-3.784991968,,,,,,
6/30/12,2.887597858,,,,,,
7/31/12,0.958226981,,,,,,
8/31/12,1.579898297,,,,,,
9/30/12,1.981791846,,,,,,
10/31/12,0.157653278,,,,,,
11/30/12,1.206449021,,,,,,
12/31/12,1.707095307,,,,,,
1/31/13,2.652542597,,,,,,
2/28/13,0.487805742,,,,,,
3/31/13,1.367924818,,,,,,
4/30/13,1.871641218,,,,,,
5/31/13,0.535768379,,,,,,
6/30/13,-0.758271132,,,,,,
7/31/13,3.002486361,,,,,,
8/31/13,-0.308323183,,,,,,
9/30/13,3.436065911,,,,,,
10/31/13,2.941659632,,,,,,
11/30/13,1.731018715,,,,,,
12/31/13,2.008524741,,,,,,
1/31/14,-1.172017645,,,,,,
2/28/14,3.06972566,,,,,,
3/31/14,0.690757838,,,,,,
4/30/14,0.961733463,,,,,,
5/31/14,1.912873329,,,,,,
6/30/14,1.958336871,,,,,,
7/31/14,-0.329029762,,,,,,
8/31/14,1.79261003,,,,,,
9/30/14,-1.367403996,,,,,,
10/31/14,1.144476983,,,,,,
11/30/14,1.356249436,,,,,,
12/31/14,-0.126924588,,,,,,
1/31/15,-0.061945407,,,,,,
2/28/15,3.345645622,,,,,,
3/31/15,0.087809722,,,,,,
4/30/15,3.024492216,,,,,,
5/31/15,1.624917552,,,,,,
6/30/15,0.494065332,,,,,,
7/31/15,0.775431033,,,,,,
8/31/15,-2.549380939,,,,,,
9/30/15,-1.083703604,,,,,,
10/31/15,4.248619027,,,,,,
11/30/15,0.447794003,,,,,,
12/31/15,-0.211951578,,,,,,
1/31/16,-3.058978078,,,,,,
2/29/16,-0.056658714,,,,,,
3/31/16,3.916055214,,,,,,
4/30/16,1.453004263,,,,,,
5/31/16,0.713603429,,,,,,
6/30/16,0.390022847,,,,,,
7/31/16,2.84858515,,,,,,
8/31/16,0.888176577,,,,,,
9/30/16,1.217331698,,,,,,
10/31/16,-0.071746977,,,,,,
11/30/16,1.498434737,,,,,,
12/31/16,1.951268644,,,,,,
1/31/17,1.844592872,,,,,,
2/28/17,1.840298519,,,,,,
3/31/17,1.129054197,,,,,,
4/30/17,1.805202238,,,,,,
5/31/17,1.941148718,,,,,,
6/30/17,1.289688526,,,,,,
7/31/17,2.073105704,,,,,,
8/31/17,0.890238072,,,,,,
9/30/17,1.786792699,,,,,,
10/31/17,1.869809054,,,,,,
11/30/17,1.751301619,,,,,,
12/31/17,1.646064967,,,,,,
1/31/18,3.630189612,,,,,,
2/28/18,-1.076626238,,,,,,
3/31/18,0.179483958,,,,,,
4/30/18,1.604929602,,,,,,
5/31/18,1.46109161,,,,,,
6/30/18,0.728405747,,,,,,
7/31/18,1.716688559,,,,,,
8/31/18,1.346835518,,,,,,
9/30/18,0.63475458,,,,,,
10/31/18,-2.693165412,,,,,,
11/30/18,2.085020847,,,,,,
12/31/18,-2.303051974,,,,,,
1/31/19,4.353066436,,,,,,
2/28/19,1.761215016,,,,,,
3/31/19,0.746507803,,,,,,
4/30/19,2.354392524,,,,,,
5/31/19,-2.257606207,,,,,,
6/30/19,3.822116956,,,,,,
7/31/19,0.781220738,,,,,,
8/31/19,-0.64243471,,,,,,
9/30/19,1.466888675,,,,,,
10/31/19,1.953633313,,,,,,
11/30/19,1.797819502,,,,,,
12/31/19,2.368017146,,,,,,
1/31/20,-0.135713425,,,,,,
2/29/20,-3.386806622,,,,,,
3/31/20,-7.335528284,,,,,,
4/30/20,7.66841796,,,,,,
5/31/20,4.92731386,,,,,,
6/30/20,4.248666249,,,,,,
7/31/20,4.274574745,,,,,,
8/31/20,4.384887291,,,,,,
9/30/20,-0.032422396,,,,,,
10/31/20,0.310472433,,,,,,
11/30/20,7.598997091,,,,,,
12/31/20,4.004061732,,,,,,
1/31/21,2.255526731,,,,,,
2/28/21,3.500472442,,,,,,
3/31/21,3.026530586,,,,,,
4/30/21,4.749063096,,,,,,
5/31/21,2.848435238,,,,,,
